Application GUID,Competition domain,Application GUID +competition domain,Application #,Participant First name,Participant Last name,Participant Organization,OverallScoreRank,OverallScoreRankNormalized,SumOfScores,SumOfScoresNormalized,AnonymousJudgeName,TraitScore,TraitScoreNormalized,TraitJudgeComment,Trait,TraitDescription,OverallImpressionScore,OverallImpressionScoreNormalized
B45DEF87-9012-4347-A3F2-E303D883F19A,testdomain,B45DEF87-9012-4347-A3F2-E303D883F19Atestdomain,2,Paul,Williams,Davidson-Meyer,202,202,52.5,52.5,Judge 5,1.3,1.3,While page recent under black. If toward major expert mouth. Service seven girl store pick situation.,DURABLE,"Does the team have the skills, capacity, and experience to implement the proposed strategy? Do they offer practical project and financial plans that anticipate, and can be responsive to, barriers to implementation?",0.0191,0.0191
B45DEF87-9012-4347-A3F2-E303D883F19A,testdomain,B45DEF87-9012-4347-A3F2-E303D883F19Atestdomain,2,Paul,Williams,Davidson-Meyer,202,202,52.5,52.5,Judge 4,2.6,2.6,Tonight expert official them economic off. More money hold main while nor.,DURABLE,"Does the team have the skills, capacity, and experience to implement the proposed strategy? Do they offer practical project and financial plans that anticipate, and can be responsive to, barriers to implementation?",0.0735,0.0735
B45DEF87-9012-4347-A3F2-E303D883F19A,testdomain,B45DEF87-9012-4347-A3F2-E303D883F19Atestdomain,2,Paul,Williams,Davidson-Meyer,202,202,52.5,52.5,Judge 16,2.4,2.4,Message offer almost answer price story. Check kind second night effort.,DURABLE,"Does the team have the skills, capacity, and experience to implement the proposed strategy? Do they offer practical project and financial plans that anticipate, and can be responsive to, barriers to implementation?",0.0355,0.0355
B45DEF87-9012-4347-A3F2-E303D883F19A,testdomain,B45DEF87-9012-4347-A3F2-E303D883F19Atestdomain,2,Paul,Williams,Davidson-Meyer,202,202,52.5,52.5,Judge 2,0.3,0.3,Word table bit reality policy he. Unit grow race bit top effort. Present must employee hospital coach.,DURABLE,"Does the team have the skills, capacity, and experience to implement the proposed strategy? Do they offer practical project and financial plans that anticipate, and can be responsive to, barriers to implementation?",0.0033,0.0033
B45DEF87-9012-4347-A3F2-E303D883F19A,testdomain,B45DEF87-9012-4347-A3F2-E303D883F19Atestdomain,2,Paul,Williams,Davidson-Meyer,202,202,52.5,52.5,Judge 3,4.2,4.2,Close analysis language culture opportunity sing tree cut.,DURABLE,"Does the team have the skills, capacity, and experience to implement the proposed strategy? Do they offer practical project and financial plans that anticipate, and can be responsive to, barriers to implementation?",0.0388,0.0388
B45DEF87-9012-4347-A3F2-E303D883F19A,testdomain,B45DEF87-9012-4347-A3F2-E303D883F19Atestdomain,2,Paul,Williams,Davidson-Meyer,202,202,52.5,52.5,Judge 12,2.4,2.4,Approach push actually wrong give voice simply. City attack American tree young. Congress message relate.,SCALABLE,"Does the proposal reference past results demonstrating the approach can effectively and successfully be replicated or scaled to the specific contexts targeted in the proposal, and/or serve as a model for other organizations or movements?",0.0084,0.0084
B45DEF87-9012-4347-A3F2-E303D883F19A,testdomain,B45DEF87-9012-4347-A3F2-E303D883F19Atestdomain,2,Paul,Williams,Davidson-Meyer,202,202,52.5,52.5,Judge 15,1.4,1.4,Do play risk international fish room. Past interview individual around interest.,SCALABLE,"Does the proposal reference past results demonstrating the approach can effectively and successfully be replicated or scaled to the specific contexts targeted in the proposal, and/or serve as a model for other organizations or movements?",0.0109,0.0109
B45DEF87-9012-4347-A3F2-E303D883F19A,testdomain,B45DEF87-9012-4347-A3F2-E303D883F19Atestdomain,2,Paul,Williams,Davidson-Meyer,202,202,52.5,52.5,Judge 18,0.2,0.2,Per bank certainly about human.,SCALABLE,"Does the proposal reference past results demonstrating the approach can effectively and successfully be replicated or scaled to the specific contexts targeted in the proposal, and/or serve as a model for other organizations or movements?",0.0906,0.0906
B45DEF87-9012-4347-A3F2-E303D883F19A,testdomain,B45DEF87-9012-4347-A3F2-E303D883F19Atestdomain,2,Paul,Williams,Davidson-Meyer,202,202,52.5,52.5,Judge 6,1.9,1.9,Those near former hand should service.,SCALABLE,"Does the proposal reference past results demonstrating the approach can effectively and successfully be replicated or scaled to the specific contexts targeted in the proposal, and/or serve as a model for other organizations or movements?",0.0793,0.0793
B45DEF87-9012-4347-A3F2-E303D883F19A,testdomain,B45DEF87-9012-4347-A3F2-E303D883F19Atestdomain,2,Paul,Williams,Davidson-Meyer,202,202,52.5,52.5,Judge 18,2.7,2.7,Pm treat safe partner fire. Past boy nor whole weight across about. Who them north region man. Draw administration ago.,SCALABLE,"Does the proposal reference past results demonstrating the approach can effectively and successfully be replicated or scaled to the specific contexts targeted in the proposal, and/or serve as a model for other organizations or movements?",0.0751,0.0751
06CC2E91-E244-4E4A-8C77-4944A81FFC3E,testdomain,06CC2E91-E244-4E4A-8C77-4944A81FFC3Etestdomain,3,Brian,Kent,Williams-Walker,273,273,58.699999999999996,58.699999999999996,Judge 7,4.9,4.9,Maintain against put Mrs sea. Republican night commercial draw. Computer leader see as game character.,IMPACTFUL,"Will the project, if successfully implemented, significantly improve economic opportunity for the targeted population over the long-term? Does approach meaningfully remediate barriers to economic opportunity for the targeted location(s) or population?",0.0395,0.0395
06CC2E91-E244-4E4A-8C77-4944A81FFC3E,testdomain,06CC2E91-E244-4E4A-8C77-4944A81FFC3Etestdomain,3,Brian,Kent,Williams-Walker,273,273,58.699999999999996,58.699999999999996,Judge 9,4.8,4.8,Ahead shake hard hundred sit. Six garden matter staff could arm personal.,IMPACTFUL,"Will the project, if successfully implemented, significantly improve economic opportunity for the targeted population over the long-term? Does approach meaningfully remediate barriers to economic opportunity for the targeted location(s) or population?",0.0063,0.0063
06CC2E91-E244-4E4A-8C77-4944A81FFC3E,testdomain,06CC2E91-E244-4E4A-8C77-4944A81FFC3Etestdomain,3,Brian,Kent,Williams-Walker,273,273,58.699999999999996,58.699999999999996,Judge 5,4.8,4.8,Health future article market. Sell not suggest democratic activity several result.,IMPACTFUL,"Will the project, if successfully implemented, significantly improve economic opportunity for the targeted population over the long-term? Does approach meaningfully remediate barriers to economic opportunity for the targeted location(s) or population?",0.008,0.008
06CC2E91-E244-4E4A-8C77-4944A81FFC3E,testdomain,06CC2E91-E244-4E4A-8C77-4944A81FFC3Etestdomain,3,Brian,Kent,Williams-Walker,273,273,58.699999999999996,58.699999999999996,Judge 5,3.4,3.4,Bring choice member politics within get. Evening down marriage president environmental. Five apply rule knowledge ball involve.,IMPACTFUL,"Will the project, if successfully implemented, significantly improve economic opportunity for the targeted population over the long-term? Does approach meaningfully remediate barriers to economic opportunity for the targeted location(s) or population?",0.0257,0.0257
06CC2E91-E244-4E4A-8C77-4944A81FFC3E,testdomain,06CC2E91-E244-4E4A-8C77-4944A81FFC3Etestdomain,3,Brian,Kent,Williams-Walker,273,273,58.699999999999996,58.699999999999996,Judge 13,3.1,3.1,Able let part contain key career. Hold media suffer scene. Home allow plant through kid.,IMPACTFUL,"Will the project, if successfully implemented, significantly improve economic opportunity for the targeted population over the long-term? Does approach meaningfully remediate barriers to economic opportunity for the targeted location(s) or population?",0.0444,0.0444
06CC2E91-E244-4E4A-8C77-4944A81FFC3E,testdomain,06CC2E91-E244-4E4A-8C77-4944A81FFC3Etestdomain,3,Brian,Kent,Williams-Walker,273,273,58.699999999999996,58.699999999999996,Judge 9,2.4,2.4,National alone born else. Apply require ahead turn peace. Include occur keep hope other add adult well. Physical truth others beat information.,EVIDENCE-BASED,"Does the team successfully present strong evidence that the proposed strategy is effective, inclusive, and has previously demonstrated compelling results?",0.0456,0.0456
06CC2E91-E244-4E4A-8C77-4944A81FFC3E,testdomain,06CC2E91-E244-4E4A-8C77-4944A81FFC3Etestdomain,3,Brian,Kent,Williams-Walker,273,273,58.699999999999996,58.699999999999996,Judge 18,0.9,0.9,Foreign it record sister poor with firm. Development trial everyone page.,EVIDENCE-BASED,"Does the team successfully present strong evidence that the proposed strategy is effective, inclusive, and has previously demonstrated compelling results?",0.047,0.047
06CC2E91-E244-4E4A-8C77-4944A81FFC3E,testdomain,06CC2E91-E244-4E4A-8C77-4944A81FFC3Etestdomain,3,Brian,Kent,Williams-Walker,273,273,58.699999999999996,58.699999999999996,Judge 1,1.7,1.7,Result phone Mrs claim visit agree. Relate mother speak. Sport specific share buy quite bar economy tough.,EVIDENCE-BASED,"Does the team successfully present strong evidence that the proposed strategy is effective, inclusive, and has previously demonstrated compelling results?",0.0542,0.0542
06CC2E91-E244-4E4A-8C77-4944A81FFC3E,testdomain,06CC2E91-E244-4E4A-8C77-4944A81FFC3Etestdomain,3,Brian,Kent,Williams-Walker,273,273,58.699999999999996,58.699999999999996,Judge 3,2.4,2.4,Write consider behind bad audience operation source. Same do writer official. Thousand manage deep central pull forget president.,EVIDENCE-BASED,"Does the team successfully present strong evidence that the proposed strategy is effective, inclusive, and has previously demonstrated compelling results?",0.0262,0.0262
06CC2E91-E244-4E4A-8C77-4944A81FFC3E,testdomain,06CC2E91-E244-4E4A-8C77-4944A81FFC3Etestdomain,3,Brian,Kent,Williams-Walker,273,273,58.699999999999996,58.699999999999996,Judge 7,4.6,4.6,Medical past benefit ask. Anything sport direction minute hope close six rich. Word admit by program appear newspaper middle meeting. Mission yard teacher fish day moment somebody.,EVIDENCE-BASED,"Does the team successfully present strong evidence that the proposed strategy is effective, inclusive, and has previously demonstrated compelling results?",0.0008,0.0008
06CC2E91-E244-4E4A-8C77-4944A81FFC3E,testdomain,06CC2E91-E244-4E4A-8C77-4944A81FFC3Etestdomain,3,Brian,Kent,Williams-Walker,273,273,58.699999999999996,58.699999999999996,Judge 13,0.8,0.8,Civil recognize avoid. Manager community letter however community amount.,DURABLE,"Does the team have the skills, capacity, and experience to implement the proposed strategy? Do they offer practical project and financial plans that anticipate, and can be responsive to, barriers to implementation?",0.0362,0.0362
06CC2E91-E244-4E4A-8C77-4944A81FFC3E,testdomain,06CC2E91-E244-4E4A-8C77-4944A81FFC3Etestdomain,3,Brian,Kent,Williams-Walker,273,273,58.699999999999996,58.699999999999996,Judge 16,2.3,2.3,Television could sure stop. War ok appear major.,DURABLE,"Does the team have the skills, capacity, and experience to implement the proposed strategy? Do they offer practical project and financial plans that anticipate, and can be responsive to, barriers to implementation?",0.0677,0.0677
06CC2E91-E244-4E4A-8C77-4944A81FFC3E,testdomain,06CC2E91-E244-4E4A-8C77-4944A81FFC3Etestdomain,3,Brian,Kent,Williams-Walker,273,273,58.699999999999996,58.699999999999996,Judge 18,3.6,3.6,Democratic kitchen house remain knowledge. Hair take actually general wonder until.,DURABLE,"Does the team have the skills, capacity, and experience to implement the proposed strategy? Do they offer practical project and financial plans that anticipate, and can be responsive to, barriers to implementation?",0.041,0.041
06CC2E91-E244-4E4A-8C77-4944A81FFC3E,testdomain,06CC2E91-E244-4E4A-8C77-4944A81FFC3Etestdomain,3,Brian,Kent,Williams-Walker,273,273,58.699999999999996,58.699999999999996,Judge 14,1.9,1.9,Often paper deep drop individual anything meet. Today performance land help beyond.,DURABLE,"Does the team have the skills, capacity, and experience to implement the proposed strategy? Do they offer practical project and financial plans that anticipate, and can be responsive to, barriers to implementation?",0.0427,0.0427
06CC2E91-E244-4E4A-8C77-4944A81FFC3E,testdomain,06CC2E91-E244-4E4A-8C77-4944A81FFC3Etestdomain,3,Brian,Kent,Williams-Walker,273,273,58.699999999999996,58.699999999999996,Judge 2,0.7,0.7,Key next public only simply add.,DURABLE,"Does the team have the skills, capacity, and experience to implement the proposed strategy? Do they offer practical project and financial plans that anticipate, and can be responsive to, barriers to implementation?",0.0847,0.0847
06CC2E91-E244-4E4A-8C77-4944A81FFC3E,testdomain,06CC2E91-E244-4E4A-8C77-4944A81FFC3Etestdomain,3,Brian,Kent,Williams-Walker,273,273,58.699999999999996,58.699999999999996,Judge 17,2.7,2.7,Could identify style see.,SCALABLE,"Does the proposal reference past results demonstrating the approach can effectively and successfully be replicated or scaled to the specific contexts targeted in the proposal, and/or serve as a model for other organizations or movements?",0.0467,0.0467
06CC2E91-E244-4E4A-8C77-4944A81FFC3E,testdomain,06CC2E91-E244-4E4A-8C77-4944A81FFC3Etestdomain,3,Brian,Kent,Williams-Walker,273,273,58.699999999999996,58.699999999999996,Judge 9,3.6,3.6,Process fire because surface foot though safe. Be face service.,SCALABLE,"Does the proposal reference past results demonstrating the approach can effectively and successfully be replicated or scaled to the specific contexts targeted in the proposal, and/or serve as a model for other organizations or movements?",0.0346,0.0346
06CC2E91-E244-4E4A-8C77-4944A81FFC3E,testdomain,06CC2E91-E244-4E4A-8C77-4944A81FFC3Etestdomain,3,Brian,Kent,Williams-Walker,273,273,58.699999999999996,58.699999999999996,Judge 2,2.4,2.4,Soldier shoulder travel federal. Head or forget. Continue art their thing evening song end with.,SCALABLE,"Does the proposal reference past results demonstrating the approach can effectively and successfully be replicated or scaled to the specific contexts targeted in the proposal, and/or serve as a model for other organizations or movements?",0.0547,0.0547
06CC2E91-E244-4E4A-8C77-4944A81FFC3E,testdomain,06CC2E91-E244-4E4A-8C77-4944A81FFC3Etestdomain,3,Brian,Kent,Williams-Walker,273,273,58.699999999999996,58.699999999999996,Judge 15,4.2,4.2,Range throw reflect citizen tend administration discussion already. Cause ok organization. Local arm blue reveal management.,SCALABLE,"Does the proposal reference past results demonstrating the approach can effectively and successfully be replicated or scaled to the specific contexts targeted in the proposal, and/or serve as a model for other organizations or movements?",0.0073,0.0073
06CC2E91-E244-4E4A-8C77-4944A81FFC3E,testdomain,06CC2E91-E244-4E4A-8C77-4944A81FFC3Etestdomain,3,Brian,Kent,Williams-Walker,273,273,58.699999999999996,58.699999999999996,Judge 9,3.5,3.5,Capital face respond able if Democrat past campaign. Couple pay close hour small talk stay. Close song treatment analysis concern those.,SCALABLE,"Does the proposal reference past results demonstrating the approach can effectively and successfully be replicated or scaled to the specific contexts targeted in the proposal, and/or serve as a model for other organizations or movements?",0.0905,0.0905
ABD7742C-A071-4FAD-B504-E6FBD663126F,testdomain,ABD7742C-A071-4FAD-B504-E6FBD663126Ftestdomain,4,Christopher,Lewis,"Clements, Navarro and Murphy",280,280,60.50000000000001,60.50000000000001,Judge 16,4.2,4.2,Movie low become positive but series most group. Successful determine minute watch court his impact development.,IMPACTFUL,"Will the project, if successfully implemented, significantly improve economic opportunity for the targeted population over the long-term? Does approach meaningfully remediate barriers to economic opportunity for the targeted location(s) or population?",0.0255,0.0255
ABD7742C-A071-4FAD-B504-E6FBD663126F,testdomain,ABD7742C-A071-4FAD-B504-E6FBD663126Ftestdomain,4,Christopher,Lewis,"Clements, Navarro and Murphy",280,280,60.50000000000001,60.50000000000001,Judge 8,3.6,3.6,Sometimes energy several. Commercial prepare ask likely thank pressure.,IMPACTFUL,"Will the project, if successfully implemented, significantly improve economic opportunity for the targeted population over the long-term? Does approach meaningfully remediate barriers to economic opportunity for the targeted location(s) or population?",0.0741,0.0741
ABD7742C-A071-4FAD-B504-E6FBD663126F,testdomain,ABD7742C-A071-4FAD-B504-E6FBD663126Ftestdomain,4,Christopher,Lewis,"Clements, Navarro and Murphy",280,280,60.50000000000001,60.50000000000001,Judge 5,4.8,4.8,Someone administration easy spend believe take create. Lawyer worry travel popular culture. Visit full model.,IMPACTFUL,"Will the project, if successfully implemented, significantly improve economic opportunity for the targeted population over the long-term? Does approach meaningfully remediate barriers to economic opportunity for the targeted location(s) or population?",0.0319,0.0319
ABD7742C-A071-4FAD-B504-E6FBD663126F,testdomain,ABD7742C-A071-4FAD-B504-E6FBD663126Ftestdomain,4,Christopher,Lewis,"Clements, Navarro and Murphy",280,280,60.50000000000001,60.50000000000001,Judge 10,2.2,2.2,Boy almost consumer. Real animal agency prevent sister his. Go whose child center wall.,IMPACTFUL,"Will the project, if successfully implemented, significantly improve economic opportunity for the targeted population over the long-term? Does approach meaningfully remediate barriers to economic opportunity for the targeted location(s) or population?",0.0015,0.0015
ABD7742C-A071-4FAD-B504-E6FBD663126F,testdomain,ABD7742C-A071-4FAD-B504-E6FBD663126Ftestdomain,4,Christopher,Lewis,"Clements, Navarro and Murphy",280,280,60.50000000000001,60.50000000000001,Judge 3,3.6,3.6,Arm direction piece loss sort crime.,IMPACTFUL,"Will the project, if successfully implemented, significantly improve economic opportunity for the targeted population over the long-term? Does approach meaningfully remediate barriers to economic opportunity for the targeted location(s) or population?",0.0173,0.0173
ABD7742C-A071-4FAD-B504-E6FBD663126F,testdomain,ABD7742C-A071-4FAD-B504-E6FBD663126Ftestdomain,4,Christopher,Lewis,"Clements, Navarro and Murphy",280,280,60.50000000000001,60.50000000000001,Judge 14,4.4,4.4,Energy part voice recognize seek. Table public away increase building must. Standard project customer billion condition wide.,EVIDENCE-BASED,"Does the team successfully present strong evidence that the proposed strategy is effective, inclusive, and has previously demonstrated compelling results?",0.008,0.008
ABD7742C-A071-4FAD-B504-E6FBD663126F,testdomain,ABD7742C-A071-4FAD-B504-E6FBD663126Ftestdomain,4,Christopher,Lewis,"Clements, Navarro and Murphy",280,280,60.50000000000001,60.50000000000001,Judge 5,2.8,2.8,Win son but story. Current respond new share. Heart ago conference. Only capital still in like apply.,EVIDENCE-BASED,"Does the team successfully present strong evidence that the proposed strategy is effective, inclusive, and has previously demonstrated compelling results?",0.0221,0.0221
ABD7742C-A071-4FAD-B504-E6FBD663126F,testdomain,ABD7742C-A071-4FAD-B504-E6FBD663126Ftestdomain,4,Christopher,Lewis,"Clements, Navarro and Murphy",280,280,60.50000000000001,60.50000000000001,Judge 11,3.5,3.5,Suggest office rate statement fall.,EVIDENCE-BASED,"Does the team successfully present strong evidence that the proposed strategy is effective, inclusive, and has previously demonstrated compelling results?",0.0005,0.0005
ABD7742C-A071-4FAD-B504-E6FBD663126F,testdomain,ABD7742C-A071-4FAD-B504-E6FBD663126Ftestdomain,4,Christopher,Lewis,"Clements, Navarro and Murphy",280,280,60.50000000000001,60.50000000000001,Judge 11,0.3,0.3,Like country guess language conference military forget. Whether goal section issue school develop want.,EVIDENCE-BASED,"Does the team successfully present strong evidence that the proposed strategy is effective, inclusive, and has previously demonstrated compelling results?",0.0256,0.0256
ABD7742C-A071-4FAD-B504-E6FBD663126F,testdomain,ABD7742C-A071-4FAD-B504-E6FBD663126Ftestdomain,4,Christopher,Lewis,"Clements, Navarro and Murphy",280,280,60.50000000000001,60.50000000000001,Judge 11,1.6,1.6,Program concern agreement day. Stand difficult successful remember common standard. Outside food listen spring.,EVIDENCE-BASED,"Does the team successfully present strong evidence that the proposed strategy is effective, inclusive, and has previously demonstrated compelling results?",0.1,0.1
ABD7742C-A071-4FAD-B504-E6FBD663126F,testdomain,ABD7742C-A071-4FAD-B504-E6FBD663126Ftestdomain,4,Christopher,Lewis,"Clements, Navarro and Murphy",280,280,60.50000000000001,60.50000000000001,Judge 4,2.0,2.0,Surface describe fire. Almost financial energy activity one goal we. Say much information rest think.,DURABLE,"Does the team have the skills, capacity, and experience to implement the proposed strategy? Do they offer practical project and financial plans that anticipate, and can be responsive to, barriers to implementation?",0.0335,0.0335
ABD7742C-A071-4FAD-B504-E6FBD663126F,testdomain,ABD7742C-A071-4FAD-B504-E6FBD663126Ftestdomain,4,Christopher,Lewis,"Clements, Navarro and Murphy",280,280,60.50000000000001,60.50000000000001,Judge 19,3.8,3.8,Majority price answer rich quite myself discuss. Remember by reduce result husband big seek. Strong Congress outside north.,DURABLE,"Does the team have the skills, capacity, and experience to implement the proposed strategy? Do they offer practical project and financial plans that anticipate, and can be responsive to, barriers to implementation?",0.0504,0.0504
ABD7742C-A071-4FAD-B504-E6FBD663126F,testdomain,ABD7742C-A071-4FAD-B504-E6FBD663126Ftestdomain,4,Christopher,Lewis,"Clements, Navarro and Murphy",280,280,60.50000000000001,60.50000000000001,Judge 18,1.6,1.6,Until what bank himself nature piece herself third.,DURABLE,"Does the team have the skills, capacity, and experience to implement the proposed strategy? Do they offer practical project and financial plans that anticipate, and can be responsive to, barriers to implementation?",0.0014,0.0014
ABD7742C-A071-4FAD-B504-E6FBD663126F,testdomain,ABD7742C-A071-4FAD-B504-E6FBD663126Ftestdomain,4,Christopher,Lewis,"Clements, Navarro and Murphy",280,280,60.50000000000001,60.50000000000001,Judge 11,4.3,4.3,West respond north indeed order. Particularly when air hard new.,DURABLE,"Does the team have the skills, capacity, and experience to implement the proposed strategy? Do they offer practical project and financial plans that anticipate, and can be responsive to, barriers to implementation?",0.07,0.07
ABD7742C-A071-4FAD-B504-E6FBD663126F,testdomain,ABD7742C-A071-4FAD-B504-E6FBD663126Ftestdomain,4,Christopher,Lewis,"Clements, Navarro and Murphy",280,280,60.50000000000001,60.50000000000001,Judge 10,1.7,1.7,South organization religious security. Property listen claim born than those.,DURABLE,"Does the team have the skills, capacity, and experience to implement the proposed strategy? Do they offer practical project and financial plans that anticipate, and can be responsive to, barriers to implementation?",0.0499,0.0499
ABD7742C-A071-4FAD-B504-E6FBD663126F,testdomain,ABD7742C-A071-4FAD-B504-E6FBD663126Ftestdomain,4,Christopher,Lewis,"Clements, Navarro and Murphy",280,280,60.50000000000001,60.50000000000001,Judge 20,2.7,2.7,Wind mouth finally cover than. Level morning exactly garden subject attorney.,SCALABLE,"Does the proposal reference past results demonstrating the approach can effectively and successfully be replicated or scaled to the specific contexts targeted in the proposal, and/or serve as a model for other organizations or movements?",0.0822,0.0822
ABD7742C-A071-4FAD-B504-E6FBD663126F,testdomain,ABD7742C-A071-4FAD-B504-E6FBD663126Ftestdomain,4,Christopher,Lewis,"Clements, Navarro and Murphy",280,280,60.50000000000001,60.50000000000001,Judge 15,2.5,2.5,Company back truth however short let. Technology stand do. Let stage lot seat interest develop.,SCALABLE,"Does the proposal reference past results demonstrating the approach can effectively and successfully be replicated or scaled to the specific contexts targeted in the proposal, and/or serve as a model for other organizations or movements?",0.0315,0.0315
ABD7742C-A071-4FAD-B504-E6FBD663126F,testdomain,ABD7742C-A071-4FAD-B504-E6FBD663126Ftestdomain,4,Christopher,Lewis,"Clements, Navarro and Murphy",280,280,60.50000000000001,60.50000000000001,Judge 7,3.8,3.8,Population property wall Republican garden. However reason at happen notice color enough.,SCALABLE,"Does the proposal reference past results demonstrating the approach can effectively and successfully be replicated or scaled to the specific contexts targeted in the proposal, and/or serve as a model for other organizations or movements?",0.0974,0.0974
ABD7742C-A071-4FAD-B504-E6FBD663126F,testdomain,ABD7742C-A071-4FAD-B504-E6FBD663126Ftestdomain,4,Christopher,Lewis,"Clements, Navarro and Murphy",280,280,60.50000000000001,60.50000000000001,Judge 13,2.1,2.1,Affect fund hold early law. Beyond station spring idea for difficult.,SCALABLE,"Does the proposal reference past results demonstrating the approach can effectively and successfully be replicated or scaled to the specific contexts targeted in the proposal, and/or serve as a model for other organizations or movements?",0.0877,0.0877
ABD7742C-A071-4FAD-B504-E6FBD663126F,testdomain,ABD7742C-A071-4FAD-B504-E6FBD663126Ftestdomain,4,Christopher,Lewis,"Clements, Navarro and Murphy",280,280,60.50000000000001,60.50000000000001,Judge 5,5.0,5.0,Yes knowledge boy article. Yet daughter result affect bit if full. Expect city know grow true relationship personal.,SCALABLE,"Does the proposal reference past results demonstrating the approach can effectively and successfully be replicated or scaled to the specific contexts targeted in the proposal, and/or serve as a model for other organizations or movements?",0.021,0.021
